Study_Hours,Attendance_Percentage,Previous_Exam_Marks,Assignment_Marks,Internal_Marks,Practice_Test_Score,Sleep_Hours,Final_Exam_Marks
4.4,63.3,47,80.4,69.3,57.6,7.2,70.7
9.6,79.4,46.1,87.8,83.3,63.1,4.9,85.4
7.6,94.3,88.9,55,80.6,89.8,8.4,88.1
6.4,88,46.2,77.5,44.2,53.8,7.1,62.8
2.4,91.3,47.7,74.3,44,90.9,4.8,61.3
2.4,84.6,79.4,90,51.1,36.2,8.8,68.4
1.5,86.2,59.2,94.4,56.7,84.4,6.6,74.2
8.8,93.2,80.5,40.7,59.5,89.3,4.4,80.4
6.4,66.2,34.2,80.4,75.8,42.7,7.1,65.3
7.4,77,61.7,43.1,38.4,60.1,5.3,63.9
1.2,65,32.2,72.9,37.1,41.6,8,54
9.7,99.4,34.1,57.3,58.5,79.5,8.1,78.2
8.5,97.5,88.9,58.4,76.8,67.5,8.9,91.4
2.9,56.8,39.1,61.2,46.6,74.5,6.5,57
2.6,86.8,64.6,77.3,73.5,43.8,6.3,74.4
2.7,96.6,56.7,60,50.6,44.8,7.8,59.9
3.7,63.1,52.6,84,88.2,32.9,4.7,72
5.7,80.6,88.5,64.3,88.7,52.5,6.7,84.4
4.9,96.2,31.4,44.1,52.8,69.2,6.7,60.9
3.6,56.5,73.1,87,48.8,90.1,4.4,81.9
6.5,86.4,92.6,57.1,59.7,76.7,6.1,78.7
2.3,68.4,66.4,66,49.4,60.5,8.3,63.8
3.6,96.6,90.9,81.1,75.3,96.7,8.3,84.7
4.3,98.7,33.4,59.9,84.6,80.3,4.5,73.1
5.1,97.5,57.2,43.4,75.4,95.1,4.5,81.4
8.1,76.3,46.9,62.4,84.5,66.9,5.3,83.8
2.8,93.8,77.5,96.7,58.8,48.1,8.4,81.1
5.6,93,93.8,78.5,44.4,33.7,4.6,73.5
6.3,69.4,46.7,80.3,79.3,80.8,7.6,77.4
1.4,92.3,72.5,77.9,56.6,38.5,4.5,56.8
6.5,56.7,42.9,51.9,75.3,51.2,7.1,75.2
2.5,81.8,66.7,65.1,51.2,67.3,5.8,67.6
1.6,65.4,60.2,85.1,39.9,69.5,7.9,61.9
9.5,60.4,93.2,46.1,94.6,72,5.2,95.5
9.7,58.5,69.6,56.7,44.4,41.6,7.2,69.6
8.3,86.3,52.7,56.6,94.3,56.6,5.2,81.1
3.7,70.3,37.4,65.9,93.6,73.2,7.6,70.3
1.9,87.6,39.8,98.8,82.6,97.9,8.4,79.5
7.2,57.9,44.6,44.1,74.6,80.9,4.6,69.4
5,69.2,46.3,71.1,69.7,94.6,8.3,69.8
2.1,79.3,85.3,50.8,87,83.4,7,78.3
5.5,90.6,66.5,98.2,52.4,71.4,4.6,81.4
1.3,69.3,64,46.8,63.1,43.4,6.1,57.7
9.2,83.2,37.5,64.2,72.2,76.7,4.8,79.6
3.3,94.9,85.9,84.3,59.7,73.6,7.5,76.5
7,82.7,77,82.3,60.6,72.2,7.8,84.5
3.8,65.5,34.4,65.4,54.8,64.3,4.5,55.2
5.7,56.1,76,60.8,68.9,67,6.5,78.4
5.9,94.2,65.3,63.9,86,53.4,8.1,80.6
2.7,56,35.3,55.9,47.1,66.4,8.7,59.1
9.7,94.4,59.8,52.3,91.1,43.8,6.6,87.4
8,78.8,61.5,69,76.3,86.4,8.8,89.4
9.5,97.3,40.8,56.1,84.4,43,6.7,78.5
9.1,90.9,91.5,57.2,68.4,35.9,6,79.8
6.4,99.9,85.2,79.4,81.8,60.5,8.2,89.6
9.3,70.8,73.5,98.1,36,76.1,6.5,81.8
1.8,89.5,60,76.2,84.1,60.6,6.4,69.9
2.8,73.1,56.8,44.6,37.4,49.4,6.5,53.7
1.4,76.6,72.3,44.5,88.4,69.1,8.2,67.5
3.9,83.2,65.5,97.1,94.5,54.3,8.2,74.5
4.5,94.3,34,57.8,52.6,95.3,6,63.7
3.4,99.3,63.3,45.5,47.6,94.6,5.7,69.6
8.5,89.6,82.4,75.9,80.9,65.2,6.5,85
4.2,73.8,59.9,77.4,50.2,53,6.9,67.3
3.5,74,33.4,78.9,86.9,81.6,5.2,77
5.9,88.2,81.1,56,41.2,32.6,8,74.5
2.3,65.7,43.1,40.9,42.6,63.2,6.4,59.1
8.2,60,46.8,97.9,93.7,53.5,5.7,82.8
1.7,71,40.7,55.1,75.4,94.4,4.5,67.4
9.9,67.9,51.5,80.6,85.8,30.8,5.2,75.6
8,68.3,79.2,82.4,54.5,68.7,8.7,82.3
2.8,65.5,63.8,76.6,75.6,81.8,5.5,61.5
1,56.9,43.3,58.8,70.7,64,4.8,60.6
8.3,55.8,87.1,56.3,71.2,36,6.3,84.5
7.4,99.4,87.2,75.9,76,98.1,5.5,91.1
7.6,74.2,86.6,92,69.5,66.3,4.2,85.1
7.9,72.3,45.5,96.8,60.7,73,5.6,74.6
1.7,85.6,59.3,46.4,51.6,46.6,6.7,59.3
4.2,64.8,94,49.3,81.1,63.8,6.8,82.9
2,97.7,80.2,96.7,48.6,60,5.8,65.9
8.8,90.4,31.8,84.2,76.5,35.2,6.2,75.6
6.6,59,34.2,93,49,37.4,8.8,64.7
4,73.8,60.2,52.2,72.5,88.6,5.9,72.4
1.6,94.6,89.1,75.3,79.8,46.8,5.3,76.3
3.8,97.5,65,82.1,48.1,43.6,5.2,66.5
3.9,76,62.4,80.8,38.6,65.3,6.3,66.5
7.6,82.6,36.9,64.5,42.9,83.8,7.8,70.5
6.7,62.5,72.7,40.9,71.4,34.3,5,72.3
9,99.6,83.4,75,86,70.4,7.5,97
5.2,65.4,54.7,55.2,37.7,38.3,4.1,57.2
2.1,97.4,80.4,67,79,32.6,6.1,65.8
7.4,84.2,92.7,97.5,55.5,33.7,7.9,83.6
7.8,82.3,43.2,63.9,63.7,88.4,5.7,79.5
6.1,78.1,64,90.4,90.7,38.3,6.8,80.4
7.9,65.4,48.7,51.3,54.9,33.2,5,65.8
5.4,62.9,81.5,80.3,62.9,60.7,7.7,86
5.7,64.9,67.5,98.6,35.8,89.1,4.3,78.5
4.8,63.4,71.2,46.1,39.9,48.4,8.3,64.6
1.2,90.1,81.9,40.5,50.5,59.5,5,59.9
2,70.8,55.7,66,36.7,32.8,8.4,45.4
1.3,57.6,89.5,45.6,72.9,61.4,5.8,66.5
6.7,98.6,64.6,84.9,60.6,70.4,7.6,81.1
3.8,94.8,40.3,94.9,67.9,70,5.6,72.6
5.6,96.7,75.2,66,45.5,53.3,8.5,74.5
9.2,99.8,81.6,55.5,52.8,52.1,4.6,78.8
3.2,62.8,50.6,66.1,74.8,37.5,4.9,53.6
4.7,72.8,85.7,83.4,92.9,55.7,6.5,80.3
7.8,89.1,88.9,40.5,38,37,4.4,72.3
3.1,86.3,48,75.4,88.4,83.7,5,80.2
1.7,61.9,93.9,76.8,69.6,97.6,8.7,81.5
3.6,91.7,39.1,78.3,68.8,97.9,8.9,76.5
2.5,65.1,43.1,54.5,65,90.6,5.9,66.8
9.4,65.1,42,82.8,39.2,72.1,8.6,72.2
8.3,79.2,88.1,45.5,40.4,79.1,6.7,81.5
6.7,81.7,72.5,52,71.1,50,5.3,71.6
8.8,81.1,39.9,92.6,55.5,74.2,7.5,82.8
8.2,59.1,58.6,84.3,90,61.9,7.3,84.8
2.7,94.5,70,40.8,59.4,63.7,8.9,70
9,67,35.4,54.9,43.6,83,5.3,65.1
5.9,60.8,87.4,52.9,77.9,49.7,7.4,80.9
8.3,95,82.2,56.2,52.6,52.3,4.3,86.1
9.1,98,62.8,54.9,66.5,94.7,4.6,80
3.9,93.8,92.9,43.8,76.9,33.9,4,70.1
2,91.4,57.2,67.5,89,64,9,74.9
3.1,84.5,94,84,82.5,93.9,8,92.5
4.8,79.8,73.4,76.4,75.6,72.7,7.9,79.1
8.4,58.9,71.3,80.4,75.8,68.2,6.5,73.1
8.7,73.4,40.8,44.9,91.8,47.5,5.5,78.1
1.1,71.8,87.3,97.1,52.7,54,4.8,72.3
5.6,66.7,57.8,90.3,35.1,89.6,5.4,64.8
4.8,87.6,40.5,88.3,51.3,69.1,5.9,65.8
3,77.3,30.8,89.4,48.1,66,7.8,68.4
2.1,58.6,66.4,96,74.7,37,6.7,74
4,64.9,64.3,72.7,73,31.1,4.4,68.9
9.5,85.7,76.8,52,70.6,97.5,4.1,86.7
3.9,58.4,87.9,77,36,56.4,4.5,67.7
5.7,93.3,35.2,84.6,78.7,72.2,6.1,74.4
7.3,77.3,77.5,84.3,54.4,35.6,8.7,83.8
4.3,76.6,42.2,71.3,74.9,77.8,7.2,67.9
9.7,81.7,85.8,44.1,68.4,95.3,8,88.4
9.7,92.1,83.2,62.3,55.6,70.3,6.3,90.8
3.3,70.7,65.2,95.2,43.1,38.8,5.8,64.3
5.5,85.5,76.2,75.1,40.7,70.7,4.5,78.6
3.7,80.5,50.4,72.3,84.9,83.6,8.4,74.1
3.6,67,60.6,56.1,90.1,58.4,7.9,71.9
1.3,94.5,83.4,62.1,74,91.6,4.8,71.9
6.5,90.9,59.9,93.7,41.2,75.4,6.6,77.3
5.5,84.6,53.3,80,59.1,92.9,6.4,71
1.5,93.3,62.1,87.2,78.7,73.6,7.1,72.9
3.5,94,83.8,67.3,81.8,39.2,8.7,72.6
9.2,86.9,51.8,77.8,42.1,51.7,6.9,77.6
3.2,92.7,41.3,54.9,35,44.1,6.7,57.4
2.3,86.4,76.3,82.3,77.7,93.6,4.3,71.6
5.4,85.6,83.7,65.7,56.4,83.2,4.3,83.5
9.9,82.8,36.5,66.6,50.3,77.3,4.9,83.7
3.2,88.9,45.6,79,35.8,51.1,4.2,57.7
7,62.1,39.2,96.2,67.4,42.9,7.7,69.5
7.9,94.6,52.6,43.8,86.1,83,7.6,93.5
3.1,94.2,59.3,89.5,92.5,63.2,4.7,71.3
7.6,56.3,78.7,57.5,68.9,45.8,8.2,78.1
4.3,92.2,72.3,66.6,65.9,73.2,4.8,75.6
6.7,60.8,70.4,41.3,40.1,32.8,5.5,67.1
6.7,70.1,52.9,58.1,67.9,52.8,5.2,70.5
5.8,88.5,84.7,70.2,57.8,62.8,5.9,77
1.8,62.2,60.6,43.4,71.4,40.4,5.3,53.3
8.5,91.8,93.6,69.5,58.3,98.9,6.4,91.5
3.9,92.4,71.2,95.6,49.4,44.6,6,67.7
2.7,77.8,38.2,46.3,40.7,39.1,8.9,52.8
1.4,55.3,74,85.9,53.9,44.2,4.3,59.2
6.3,67.9,51.1,64.6,40.8,83.8,4.7,61.3
7.1,82.8,74.6,79.3,45.6,59.8,4.3,80.4
1.1,99.2,34.5,55.6,94.2,69.6,7.1,63.5
5.6,83.4,41.4,49.6,61.6,31.5,4.3,53.6
3,66.7,85.6,49.6,66.9,32.4,8.2,67.3
6.8,83.5,44.8,44.2,87.4,61.2,6.6,73.3
2.6,79.3,84.4,51.1,94.7,87.2,6.6,73.5
7.2,90.1,48.2,79.9,70,92,6.8,83.4
4.5,59.8,71.8,92.9,83.7,36.1,4.9,69.7
9.4,89.2,75.1,88.8,54.6,67.7,5,92.7
2.2,79.4,63.3,81.1,53.3,93.9,5.6,72.8
4.1,98.3,49.8,46.6,59.2,57.2,7,63.3
2,70.4,43.8,57.4,75.4,88.1,5.1,61
9.3,83.5,32.2,58.6,75.9,39.4,4.6,69.1
8.9,96.9,49.8,55,53.9,95.5,8.9,84.6
3.3,59.6,72.5,70.9,43,82.6,4.1,66.3
6.9,97.2,91,72.1,72.9,95.9,8,93.2
8.4,86,86.6,61.4,42.7,77.4,7.9,84.5
6,58.1,79.8,61.2,69.7,55.4,5.5,72.3
5.8,68.5,81.2,89.7,76.6,95.7,4.7,85.2
3.2,86.9,73.2,87.4,77,49.3,4.7,65.7
1.8,58,46.9,58.5,80.2,53.3,7.5,65.3
9.1,81.2,89,94.8,87.4,79.1,7.2,100
9.1,70.6,73.6,97.2,65,83.6,7.9,88.6
6.7,82.9,66.4,59.6,78.8,95.1,8.7,93.5
4.1,57.1,37.2,61.3,72.2,44.3,7.5,61.3
4.1,94.2,59.1,70.3,46.2,85.9,4.8,65.7
7.5,98.8,59.9,96.5,36.5,81.7,5.2,82.5
9.1,98.6,86.2,92.6,52.1,34.5,8.2,88.9
9,88.7,65.5,46.2,61.6,57.1,5,77.6
8,60.9,54.7,63.6,72,49.8,4.4,69.9
6.8,89.1,93.5,73.2,86,51.3,7.5,91.1
1.8,56.1,37.2,70.2,46.8,98.8,6,58.2
2.5,56,57.5,51.6,42.5,75,8.6,63.3
9.1,69.6,32.7,91.5,92.8,80.2,7.3,77.3
6.5,77,78.1,80.6,41.5,98.4,4.5,78.1
